Time resolution is 1 ps
Time=0, HSync=x, VSync=x, R=000x, G=0000, B=0000
Time=1414105, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1414155, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1414205, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1414255, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1414305, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1414355, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1414405, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1414455, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1414505, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1414555, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1414605, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1414655, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1414705, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1414755, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1414805, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1414855, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1414905, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1414955, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1415005, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1415055, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1415105, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1415155, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1415205, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1415255, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1415305, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1415355, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1415405, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1415455, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1415505, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1415555, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1415605, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1415655, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1415705, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1415755, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1415805, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1415855, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1415905, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1415955, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1416005, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1416055, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1416105, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1416155, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1416205, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1416255, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1416305, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1416355, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1416405, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1416455, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1416505, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1416555, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1416605, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1416655, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1416705, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1416755, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1416805, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1416855, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1416905, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1416955, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1417005, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1417055, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1417105, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1417155, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1417205, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1417255, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1417305, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1417355, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1417405, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1417455, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1417505, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1417555, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1417605, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1417655, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1417705, HSync=1, VSync=1, R=0000, G=0000, B=1111
